	category_1	city_1	category_2	city_2	category_3	city_3	category_4	city_4	category_5	city_5
2087	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2088	Tourism Attractions/ Sites	KAEC								
2089	Tourism Attractions/ Sites	Umluj								
2090	Tourism Attractions/ Sites	Taif								
2091	Accommodation	Dammam								
2092	Tourism Attractions/ Sites	Abha								
2093	Tourism Attractions/ Sites	Madinah								
2094	Food & Beverage	Tabuk								
2095	Tourism Attractions/ Sites	Al Baha								
2096	Tourism Attractions/ Sites	Tabuk								
2097	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
2098	Tourism Attractions/ Sites	Taif								
2099	Food & Beverage	Madinah								
2100	Religious	Riyadh	Tourism Attractions/ Sites	Madinah	Religious	Madinah				
2101	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
2102	Tourism Attractions/ Sites	Taif								
2103	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2104	Tourism Attractions/ Sites	Madinah								
2105	Tourism Attractions/ Sites	Al Namas								
2106	Tourism Attractions/ Sites	Taif								
2107	Tourism Attractions/ Sites	Madinah								
2108	Tourism Attractions/ Sites	Tabuk								
2109	Tourism Attractions/ Sites	Madinah								
2110	Tourism Attractions/ Sites	Khobar								
2111	Tourism Attractions/ Sites	Taif								
2112	Tourism Attractions/ Sites	KAEC								
2113	Retail	Riyadh								
2114	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
2115	Tourism Attractions/ Sites	Taif								
2116	Tourism Attractions/ Sites	Dammam								
2117	Tourism Attractions/ Sites	Madinah								
2118	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2119	Food & Beverage	Al Ahsa	Tourism Attractions/ Sites	Al Ahsa						
2120	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2121	Tourism Attractions/ Sites	Taif								
2122	Tourism Attractions/ Sites	Madinah								
2123	Tourism Attractions/ Sites	Jizan								
2124	Tourism Attractions/ Sites	Tabuk								
2125	Tourism Attractions/ Sites	Abha								
2126	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
2127	Tourism Attractions/ Sites	Abha								
2128	Food & Beverage	Madinah								
2129	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
2130	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
2131	Tourism Attractions/ Sites	Khobar								
2132	Tourism Attractions/ Sites	Abha								
2133	Tourism Attractions/ Sites	Madinah								
2134	Tourism Attractions/ Sites	Madinah								
2135	Tourism Attractions/ Sites	Al Ahsa	Retail	Al Ahsa						
2136	Tourism Attractions/ Sites	Tanomah								
2137	Tourism Attractions/ Sites	Taif								
2138	Tourism Attractions/ Sites	Taif	Retail	Jeddah						
2139	Tourism Attractions/ Sites	Al Baha	Tourism Attractions/ Sites	Tanomah						
2140	Food & Beverage	Tabuk								
2141	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2142	Tourism Attractions/ Sites	Abha								
2143	Retail	Jeddah								
2144	Accommodation	Khobar								
2145	Tourism Attractions/ Sites	Taif								
2146	Tourism Attractions/ Sites	Al Namas								
2147	Tourism Attractions/ Sites	Al Baha								
2148	Tourism Attractions/ Sites	Tanomah								
2149	Tourism Attractions/ Sites	Madinah								
2150	Tourism Attractions/ Sites	Taif								
2151	Tourism Attractions/ Sites	Madinah								
2152	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
2153	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
2154	Tourism Attractions/ Sites	Madinah	Retail	Riyadh						
2155	Tourism Attractions/ Sites	Abha								
2156	Tourism Attractions/ Sites	Tanomah								
2157	Tourism Attractions/ Sites	Yanbu								
2158	Tourism Attractions/ Sites	Jizan								
2159	Tourism Attractions/ Sites	Madinah								
2160	Tourism Attractions/ Sites	KAEC								
2161	Tourism Attractions/ Sites	Tabuk								
2162	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2163	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2164	Tourism Attractions/ Sites	Taif								
2165	Tourism Attractions/ Sites	Madinah								
2166	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2167	Tourism Attractions/ Sites	Taif								
2168	Tourism Attractions/ Sites	Madinah								
2169	Tourism Attractions/ Sites	Jeddah	Religious	Jeddah						
2170	Tourism Attractions/ Sites	Al Baha								
2171	Tourism Attractions/ Sites	Al Baha								
2172	Tourism Attractions/ Sites	Taif	Retail	Jeddah						
2173	Tourism Attractions/ Sites	Al Namas								
2174	Tourism Attractions/ Sites	Sakaka / AlJouf								
2175	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2176	Tourism Attractions/ Sites	Abha								
2177	Tourism Attractions/ Sites	Madinah								
2178	Tourism Attractions/ Sites	Umluj								
2179	Tourism Attractions/ Sites	Madinah								
2180	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2181	Tourism Attractions/ Sites	Tabuk								
2182	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
2183	Accommodation	Khobar	Accommodation	Dammam						
2184	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2185	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2186	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh	Tourism Attractions/ Sites	Dammam
2187	Tourism Attractions/ Sites	Madinah								
2188	Tourism Attractions/ Sites	Jizan								
2189	Tourism Attractions/ Sites	Abha								
2190	Tourism Attractions/ Sites	Yanbu								
2191	Tourism Attractions/ Sites	Taif								
2192	Tourism Attractions/ Sites	Sakaka / AlJouf								
2193	Tourism Attractions/ Sites	Jizan								
2194	Retail	Jeddah	Religious	Jeddah						
2195	Tourism Attractions/ Sites	Umluj								
2196	Tourism Attractions/ Sites	Taif								
2197	Tourism Attractions/ Sites	Tanomah								
2198	Tourism Attractions/ Sites	Madinah								
2199	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2200	Tourism Attractions/ Sites	Madinah								
2201	Retail	Tabuk								
2202	Tourism Attractions/ Sites	Taif	Retail	Jeddah						
2203	Tourism Attractions/ Sites	Taif								
2204	Tourism Attractions/ Sites	Madinah	Retail	Riyadh						
2205	Tourism Attractions/ Sites	Abha								
2206	Accommodation	Jeddah								
2207	Tourism Attractions/ Sites	Abha								
2208	Food & Beverage	Tabuk								
2209	Tourism Attractions/ Sites	KAEC								
2210	Tourism Attractions/ Sites	Al Namas								
2211	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
2212	Tourism Attractions/ Sites	Tabuk								
2213	Tourism Attractions/ Sites	Yanbu								
2214	Tourism Attractions/ Sites	Tanomah								
2215	Tourism Attractions/ Sites	Al Baha								
2216	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
2217	Tourism Attractions/ Sites	Madinah								
2218	Tourism Attractions/ Sites	Yanbu								
2219	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2220	Tourism Attractions/ Sites	Taif								
2221	Tourism Attractions/ Sites	Umluj								
2222	Tourism Attractions/ Sites	Abha								
2223	Tourism Attractions/ Sites	Al Ahsa	Retail	Al Ahsa						
2224	Tourism Attractions/ Sites	Taif								
2225	Food & Beverage	Al Ahsa	Tourism Attractions/ Sites	Al Ahsa						
2226	Retail	Jeddah								
2227	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2228	Tourism Attractions/ Sites	Yanbu								
2229	Tourism Attractions/ Sites	Al Ahsa								
2230	Tourism Attractions/ Sites	Jizan								
2231	Tourism Attractions/ Sites	Yanbu								
2232	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
2233	Tourism Attractions/ Sites	Abha								
2234	Tourism Attractions/ Sites	Abha								
2235	Tourism Attractions/ Sites	Taif								
2236	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
2237	Tourism Attractions/ Sites	Al Baha	Tourism Attractions/ Sites	Tanomah						
2238	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2239	Tourism Attractions/ Sites	Taif								
2240	Tourism Attractions/ Sites	Jizan								
2241	Tourism Attractions/ Sites	Madinah	Retail	Riyadh						
2242	Tourism Attractions/ Sites	Taif								
2243	Tourism Attractions/ Sites	Abha								
2244	Accommodation	Makkah								
2245	Tourism Attractions/ Sites	Madinah								
2246	Tourism Attractions/ Sites	Tabuk								
2247	Tourism Attractions/ Sites	Madinah								
2248	Tourism Attractions/ Sites	Umluj								
2249	Tourism Attractions/ Sites	Al Ahsa	Retail	Al Ahsa						
2250	Food & Beverage	Al Ahsa	Tourism Attractions/ Sites	Al Ahsa						
2251	Tourism Attractions/ Sites	Umluj								
2252	Tourism Attractions/ Sites	Taif	Retail	Jeddah						
2253	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2254	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2255	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2256	Tourism Attractions/ Sites	Yanbu								
2257	Food & Beverage	Tabuk								
2258	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2259	Religious	Riyadh	Tourism Attractions/ Sites	Madinah	Religious	Madinah				
2260	Tourism Attractions/ Sites	Al Ahsa								
2261	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
2262	Tourism Attractions/ Sites	KAEC								
2263	Accommodation	Jeddah								
2264	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2265	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2266	Tourism Attractions/ Sites	Tanomah								
2267	Tourism Attractions/ Sites	Taif								
2268	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
2269	Tourism Attractions/ Sites	Taif								
2270	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
2271	Accommodation	Makkah								
2272	Tourism Attractions/ Sites	Abha								
2273	Accommodation	Khobar	Tourism Attractions/ Sites	Khobar						
2274	Tourism Attractions/ Sites	Al Namas								
2275	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
2276	Tourism Attractions/ Sites	Taif								
2277	Tourism Attractions/ Sites	Abha								
2278	Tourism Attractions/ Sites	Tanomah								
2279	Tourism Attractions/ Sites	Umluj								
2280	Tourism Attractions/ Sites	Al Namas								
2281	Tourism Attractions/ Sites	Tanomah								
2282	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2283	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2284	Tourism Attractions/ Sites	Sakaka / AlJouf								
2285	Accommodation	Makkah								
2286	Tourism Attractions/ Sites	Khobar								
2287	Tourism Attractions/ Sites	Yanbu								
2288	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
2289	Tourism Attractions/ Sites	Abha								
2290	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
2291	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2292	Tourism Attractions/ Sites	Madinah								
2293	Tourism Attractions/ Sites	Madinah								
2294	Tourism Attractions/ Sites	Madinah								
2295	Tourism Attractions/ Sites	Al Ahsa								
2296	Tourism Attractions/ Sites	Madinah								
2297	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
2298	Tourism Attractions/ Sites	Madinah								
2299	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh	Tourism Attractions/ Sites	Dammam
2300	Tourism Attractions/ Sites	Abha								
2301	Tourism Attractions/ Sites	Umluj	Tourism Attractions/ Sites	Jeddah						
2302	Tourism Attractions/ Sites	Taif								
2303	Tourism Attractions/ Sites	Jizan								
2304	Tourism Attractions/ Sites	Madinah	Retail	Riyadh						
2305	Accommodation	Abha								
2306	Tourism Attractions/ Sites	Al Baha								
2307	Tourism Attractions/ Sites	Madinah								
2308	Tourism Attractions/ Sites	Al Baha	Tourism Attractions/ Sites	Tanomah						
2309	Retail	Jeddah								
2310	Tourism Attractions/ Sites	Madinah								
2311	Tourism Attractions/ Sites	Taif								
2312	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2313	Food & Beverage	Al Ahsa	Tourism Attractions/ Sites	Al Ahsa						
2314	Tourism Attractions/ Sites	Madinah								
2315	Tourism Attractions/ Sites	Abha								
2316	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2317	Tourism Attractions/ Sites	Taif								
2318	Food & Beverage	Riyadh								
2319	Tourism Attractions/ Sites	Tabuk								
2320	Food & Beverage	Madinah								
2321	Tourism Attractions/ Sites	Abha								
2322	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2323	Food & Beverage	Dammam								
2324	Tourism Attractions/ Sites	Jizan								
2325	Tourism Attractions/ Sites	Madinah	Retail	Riyadh						
2326	Tourism Attractions/ Sites	Tabuk								
2327	Tourism Attractions/ Sites	Riyadh								
2328	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
2329	Tourism Attractions/ Sites	Al Namas								
2330	Tourism Attractions/ Sites	Tanomah								
2331	Religious	Riyadh	Tourism Attractions/ Sites	Madinah	Religious	Madinah				
2332	Tourism Attractions/ Sites	Taif								
2333	Accommodation	Madinah								
2334	Accommodation	Madinah								
2335	Tourism Attractions/ Sites	Madinah								
2336	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2337	Tourism Attractions/ Sites	Taif								
2338	Accommodation	Makkah								
2339	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
2340	Tourism Attractions/ Sites	Taif	Retail	Jeddah						
2341	Tourism Attractions/ Sites	Yanbu								
2342	Accommodation	Makkah								
2343	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2344	Tourism Attractions/ Sites	Madinah								
2345	Tourism Attractions/ Sites	Madinah								
2346	Tourism Attractions/ Sites	Tabuk								
2347	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
2348	Tourism Attractions/ Sites	Abha								
2349	Tourism Attractions/ Sites	Tabuk								
2350	Food & Beverage	Tabuk								
2351	Tourism Attractions/ Sites	Al Ahsa								
2352	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2353	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
2354	Tourism Attractions/ Sites	Al Baha								
2355	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
2356	Food & Beverage	Riyadh								
2357	Tourism Attractions/ Sites	Umluj								
2358	Accommodation	Jeddah								
2359	Accommodation	Jeddah	Food & Beverage	Jeddah	Tourism Attractions/ Sites	Jeddah	Tourism Attractions/ Sites	Makkah		
2360	Tourism Attractions/ Sites	Al Ahsa								
2361	Food & Beverage	Madinah								
2362	Tourism Attractions/ Sites	Taif								
2363	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2364	Accommodation	Jeddah								
2365	Tourism Attractions/ Sites	Abha								
2366	Tourism Attractions/ Sites	Al Baha	Tourism Attractions/ Sites	Tanomah						
2367	Tourism Attractions/ Sites	Taif								
2368	Tourism Attractions/ Sites	Jeddah								
2369	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2370	Tourism Attractions/ Sites	Abha								
2371	Tourism Attractions/ Sites	Taif								
2372	Retail	Riyadh								
2373	Tourism Attractions/ Sites	Al Baha								
2374	Tourism Attractions/ Sites	Taif								
2375	Food & Beverage	Madinah								
2376	Tourism Attractions/ Sites	Madinah								
2377	Tourism Attractions/ Sites	KAEC								
2378	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2379	Food & Beverage	Al Ahsa	Tourism Attractions/ Sites	Al Ahsa						
2380	Accommodation	Tabuk								
2381	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2382	Tourism Attractions/ Sites	Jizan								
2383	Tourism Attractions/ Sites	Al Baha								
2384	Tourism Attractions/ Sites	Taif								
2385	Food & Beverage	Riyadh								
2386	Tourism Attractions/ Sites	Taif								
2387	Food & Beverage	Al Baha								
2388	Tourism Attractions/ Sites	Al Baha	Tourism Attractions/ Sites	Tanomah						
2389	Tourism Attractions/ Sites	Khobar								
2390	Tourism Attractions/ Sites	Madinah								
2391	Tourism Attractions/ Sites	Taif								
2392	Tourism Attractions/ Sites	Khobar								
2393	Tourism Attractions/ Sites	Abha								
2394	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2395	Tourism Attractions/ Sites	Tabuk								
2396	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2397	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
2398	Tourism Attractions/ Sites	Madinah								
2399	Tourism Attractions/ Sites	Yanbu								
2400	Tourism Attractions/ Sites	Abha								
2401	Tourism Attractions/ Sites	Madinah								
2402	Religious	Makkah								
2403	Tourism Attractions/ Sites	Madinah	Retail	Riyadh						
2404	Tourism Attractions/ Sites	Al Ahsa								
2405	Food & Beverage	Riyadh								
2406	Food & Beverage	Riyadh								
2407	Tourism Attractions/ Sites	Madinah								
2408	Tourism Attractions/ Sites	Jizan								
2409	Tourism Attractions/ Sites	Madinah								
2410	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2411	Accommodation	Makkah	Accommodation	Taif						
2412	Tourism Attractions/ Sites	Tabuk								
2413	Tourism Attractions/ Sites	Yanbu								
2414	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2415	Food & Beverage	Tabuk								
2416	Tourism Attractions/ Sites	Madinah								
2417	Tourism Attractions/ Sites	Madinah								
2418	Retail	Jeddah								
2419	Accommodation	Makkah								
2420	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
2421	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
2422	Tourism Attractions/ Sites	Yanbu								
2423	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
2424	Tourism Attractions/ Sites	Taif								
2425	Tourism Attractions/ Sites	Madinah								
2426	Tourism Attractions/ Sites	Taif								
2427	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2428	Tourism Attractions/ Sites	Taif								
2429	Accommodation	Dammam								
2430	Tourism Attractions/ Sites	Abha								
2431	Tourism Attractions/ Sites	Al Baha	Tourism Attractions/ Sites	Tanomah						
2432	Tourism Attractions/ Sites	Abha								
2433	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
2434	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
2435	Tourism Attractions/ Sites	Al Ahsa								
2436	Tourism Attractions/ Sites	Sakaka / AlJouf								
2437	Tourism Attractions/ Sites	Jizan								
2438	Tourism Attractions/ Sites	Jizan								
2439	Tourism Attractions/ Sites	Al Namas								
2440	Religious	Makkah								
2441	Tourism Attractions/ Sites	Al Ahsa								
2442	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2443	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2444	Tourism Attractions/ Sites	Madinah								
2445	Tourism Attractions/ Sites	Abha								
2446	Tourism Attractions/ Sites	Madinah								
2447	Tourism Attractions/ Sites	Taif								
2448	Tourism Attractions/ Sites	Taif	Retail	Jeddah						
2449	Tourism Attractions/ Sites	Umluj								
2450	Tourism Attractions/ Sites	Sakaka / AlJouf								
2451	Tourism Attractions/ Sites	Madinah								
2452	Tourism Attractions/ Sites	Yanbu								
2453	Food & Beverage	Al Ahsa	Tourism Attractions/ Sites	Al Ahsa						
2454	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2455	Accommodation	Jeddah	Tourism Attractions/ Sites	Jeddah	Tourism Attractions/ Sites	Makkah				
2456	Tourism Attractions/ Sites	Madinah								
2457	Tourism Attractions/ Sites	Jizan								
2458	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
2459	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
2460	Tourism Attractions/ Sites	Abha								
2461	Retail	Hail								
2462	Religious	Makkah								
2463	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
2464	Tourism Attractions/ Sites	Khobar								
2465	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2466	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2467	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
2468	Tourism Attractions/ Sites	Madinah								
2469	Tourism Attractions/ Sites	Khobar								
2470	Tourism Attractions/ Sites	Madinah								
2471	Tourism Attractions/ Sites	Al Baha								
2472	Tourism Attractions/ Sites	Al Ahsa								
2473	Tourism Attractions/ Sites	Abha								
2474	Tourism Attractions/ Sites	Madinah	Retail	Riyadh						
2475	Tourism Attractions/ Sites	Taif								
2476	Tourism Attractions/ Sites	Taif	Retail	Jeddah						
2477	Tourism Attractions/ Sites	Abha								
2478	Tourism Attractions/ Sites	Taif								
2479	Tourism Attractions/ Sites	Al Ahsa								
2480	Food & Beverage	Taif								
2481	Tourism Attractions/ Sites	Tanomah								
2482	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2483	Tourism Attractions/ Sites	Umluj								
2484	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
2485	Accommodation	Qassim								
2486	Tourism Attractions/ Sites	Madinah								
2487	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2488	Tourism Attractions/ Sites	Tanomah								
2489	Tourism Attractions/ Sites	Abha								
2490	Tourism Attractions/ Sites	Khobar								
2491	Religious	Riyadh	Tourism Attractions/ Sites	Madinah	Religious	Madinah				
2492	Tourism Attractions/ Sites	Yanbu								
2493	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2494	Tourism Attractions/ Sites	Taif								
2495	Food & Beverage	Tabuk								
2496	Tourism Attractions/ Sites	Madinah								
2497	Tourism Attractions/ Sites	Abha								
2498	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
2499	Tourism Attractions/ Sites	Yanbu								
2500	Retail	Jeddah								
2501	Tourism Attractions/ Sites	Madinah								
2502	Tourism Attractions/ Sites	Taif								
2503	Tourism Attractions/ Sites	Tanomah								
2504	Tourism Attractions/ Sites	Madinah								
2505	Tourism Attractions/ Sites	Umluj								
2506	Accommodation	Jeddah								
2507	Tourism Attractions/ Sites	Abha								
2508	Accommodation	Makkah								
2509	Tourism Attractions/ Sites	Abha								
2510	Tourism Attractions/ Sites	Sakaka / AlJouf								
2511	Tourism Attractions/ Sites	Jizan								
2512	Tourism Attractions/ Sites	Jizan								
2513	Tourism Attractions/ Sites	Taif								
2514	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
2515	Tourism Attractions/ Sites	Umluj								
2516	Accommodation	Khobar	Accommodation	Dammam						
2517	Tourism Attractions/ Sites	Yanbu								
2518	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2519	Tourism Attractions/ Sites	Al Ahsa								
2520	Food & Beverage	Madinah								
2521	Tourism Attractions/ Sites	Abha								
2522	Tourism Attractions/ Sites	Al Baha								
2523	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2524	Tourism Attractions/ Sites	Madinah								
2525	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
2526	Tourism Attractions/ Sites	Tabuk								
2527	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
2528	Tourism Attractions/ Sites	Madinah								
2529	Tourism Attractions/ Sites	Madinah								
2530	Tourism Attractions/ Sites	KAEC								
2531	Tourism Attractions/ Sites	Al Ahsa								
2532	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2533	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2534	Tourism Attractions/ Sites	Tabuk								
2535	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2536	Religious	Makkah								
2537	Tourism Attractions/ Sites	Yanbu								
2538	Tourism Attractions/ Sites	Jizan								
2539	Tourism Attractions/ Sites	Abha								
2540	Tourism Attractions/ Sites	Al Namas								
2541	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh	Tourism Attractions/ Sites	Dammam
2542	Tourism Attractions/ Sites	Tanomah								
2543	Tourism Attractions/ Sites	Al Baha								
2544	Tourism Attractions/ Sites	Abha								
2545	Tourism Attractions/ Sites	Taif								
2546	Tourism Attractions/ Sites	Al Ahsa								
2547	Tourism Attractions/ Sites	Yanbu								
2548	Religious	Makkah								
2549	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
2550	Food & Beverage	Madinah								
2551	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
2552	Tourism Attractions/ Sites	Khobar								
2553	Tourism Attractions/ Sites	Abha								
2554	Food & Beverage	Khobar								
2555	Tourism Attractions/ Sites	Taif								
2556	Tourism Attractions/ Sites	Madinah								
2557	Tourism Attractions/ Sites	Al Namas								
2558	Tourism Attractions/ Sites	Jizan								
2559	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
2560	Accommodation	Riyadh	Food & Beverage	Riyadh						
2561	Accommodation	Makkah								
2562	Religious	Riyadh	Tourism Attractions/ Sites	Madinah	Religious	Madinah				
2563	Tourism Attractions/ Sites	Umluj								
2564	Tourism Attractions/ Sites	Al Ahsa								
2565	Tourism Attractions/ Sites	Abha	Accommodation	Riyadh						
2566	Tourism Attractions/ Sites	Madinah								
2567	Food & Beverage	Tabuk								
2568	Tourism Attractions/ Sites	Tabuk								
2569	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
2570	Accommodation	Riyadh	Food & Beverage	Riyadh						
2571	Tourism Attractions/ Sites	Jeddah								
2572	Tourism Attractions/ Sites	Madinah								
2573	Tourism Attractions/ Sites	Tanomah								
2574	Food & Beverage	Madinah								
2575	Tourism Attractions/ Sites	Abha								
2576	Tourism Attractions/ Sites	Tabuk								
2577	Tourism Attractions/ Sites	Khobar								
2578	Tourism Attractions/ Sites	Madinah								
2579	Accommodation	Makkah								
2580	Tourism Attractions/ Sites	Madinah								
2581	Tourism Attractions/ Sites	Abha								
2582	Tourism Attractions/ Sites	Al Ahsa								
2583	Food & Beverage	Khobar								
2584	Tourism Attractions/ Sites	Madinah								
2585	Tourism Attractions/ Sites	KAEC								
2586	Tourism Attractions/ Sites	Al Baha	Tourism Attractions/ Sites	Tanomah						
2587	Tourism Attractions/ Sites	Sakaka / AlJouf								
2588	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
2589	Tourism Attractions/ Sites	Madinah	Retail	Riyadh						
2590	Tourism Attractions/ Sites	Madinah								
